player_name,Shooting,Playmaking,Perimeter_Defense,Interior_Defense,Rebounding,Scoring,Efficiency,Impact
Dario Šarić,60.12275579147526,49.15210786198834,51.983469855386595,54.583602520162,54.354008082659156,47.745292886897666,77.81253128054742,58.76561788083284
Darius Garland,71.40379796580376,83.61530209482221,62.600354091790166,51.585186984936385,30.373195462596676,74.7529360648063,82.26210948191591,71.2865489687034
David Jones Garcia,65.21000472700382,69.63320458767012,63.68594316755456,62.04191115964922,43.26618335934259,46.7822525154362,79.51218475073313,60.83991840265997
Davion Mitchell,59.21455404401191,72.30712509828984,57.99106904688426,53.98877296914295,28.392954625756705,48.37476700318019,76.512474235442,61.23794801000911
Day'Ron Sharpe,49.50925803355618,46.72186374880009,56.81517965429044,70.21999921079643,83.46715325772298,51.263444752945844,82.5123137829912,60.94195410840088
De'Aaron Fox,65.87289350894423,75.86934722903419,68.9499381123165,56.37420996132818,38.20913511619947,89.41620871347962,82.7797311827957,70.32486063168416
De'Anthony Melton,66.12886236159189,57.945877163565754,81.29791330402759,65.0071438007306,40.847745557484,57.883066271246754,79.27449120234606,65.46302859510408
DeAndre Jordan,43.26774366133751,38.86871849389508,46.485192721350415,67.87009305583291,82.01460731520423,45.21878343925909,83.34862204999304,59.683749745315204
DeMar DeRozan,53.066034441532636,67.64243564290635,59.06767828507156,56.4638130833296,38.1920659673899,86.04167691701693,85.5015982404692,75.27894081340119
Dean Wade,63.09998435633388,45.105017906125546,58.8104403752254,61.61382729274496,47.00521393565083,41.87178856818238,74.76062903225807,63.52269519391861
Deandre Ayton,43.22104629848519,40.00277618902019,54.35081417620589,67.3657530223448,88.33199086091558,69.10850421191736,86.74176001955036,69.5696893056537
Derrick Jones Jr.,57.74314662179218,37.57831826464782,57.72206938401358,68.37253449043543,41.76919176171205,50.00272294949643,80.91851515151515,63.725098958335536
Derrick White,73.29524233853452,68.5771528478505,60.34273269390637,69.8431998705141,38.246020441451066,64.76923862753785,81.58588360564167,72.81870381103458
Desmond Bane,75.06683795551152,63.16907349061655,59.87620124299188,57.60513738932917,44.208063103430035,74.64305998390427,84.1596735092864,72.08527321526124
Devin Booker,68.50469515792109,73.80476904503521,56.868519783851774,55.25935427161836,40.45765001414593,94.05807379004086,85.7984467253177,75.36406335278113
Devin Carter,52.1597651396695,50.89866349484157,66.22927319268427,58.8457700503274,44.74450437445477,42.020856187670134,71.0158137829912,55.213544526518426
Devin Vassell,71.8434042778113,53.62475766201574,62.65995030848292,58.4954171389012,38.98057829299045,65.14306601080673,80.21421896383188,65.35650246319526
