player_name_clean,year_ahead,Shooting,Playmaking,Perimeter_Defense,Interior_Defense,Rebounding,Scoring,Efficiency,Impact
amir coffey,4,0.0234,0.0361,0.0281,0.0712,0.0079,0.0237,-0.0045,0.0114
amir coffey,5,0.0287,0.0036,0.0248,0.0727,0.008,0.0264,-0.0054,0.0108
andre drummond,1,0.0138,0.0183,0.0022,0.0065,0.0101,0.0112,-0.0165,-0.003
andre drummond,2,0.0028,0.0242,0.0276,-0.0016,0.0047,0.0009,-0.014,-0.0061
andre drummond,3,0.013,0.0305,0.0239,-0.0042,0.0061,0.0074,-0.0103,-0.0063
andre drummond,4,0.0105,0.0017,0.0223,-0.0063,0.0053,0.0157,-0.0197,-0.008
andre drummond,5,0.0154,0.0117,0.028,0.0029,0.0053,0.0039,-0.0141,-0.008
andre jackson,1,0.0362,0.0191,0.0507,0.1364,0.0349,0.0402,0.0078,0.0676
andre jackson,2,0.0288,0.026,0.0483,0.175,0.0301,0.0347,0.0,0.0708
andre jackson,3,0.0275,0.0418,0.0374,0.1577,0.0325,0.0343,0.0016,0.0469
andre jackson,4,0.0343,0.027,0.0488,0.1494,0.0333,0.0386,-0.0001,0.0342
andre jackson,5,0.0383,0.0301,0.0457,0.1475,0.0327,0.0381,0.0023,0.0359
andrew nembhard,1,-0.0117,-0.0104,0.0216,-0.0336,-0.0067,-0.0115,0.0246,-0.004
andrew nembhard,2,-0.018,-0.0203,-0.0317,-0.0336,-0.0127,-0.017,0.0153,-0.0216
andrew nembhard,3,-0.0124,-0.0157,-0.0303,-0.024,-0.0154,-0.0108,0.0079,-0.0256
andrew nembhard,4,-0.0182,-0.0076,-0.015,-0.0306,-0.0226,-0.0161,-0.0135,-0.0384
andrew nembhard,5,-0.0167,-0.0229,-0.0467,-0.0442,-0.0294,-0.0171,-0.0155,-0.0373
andrew wiggins,1,-0.0135,-0.0271,-0.04,-0.0233,-0.0331,-0.0137,-0.0158,-0.0153
andrew wiggins,2,-0.0213,-0.0166,-0.0504,-0.0322,-0.0301,-0.0226,-0.0158,-0.0247
andrew wiggins,3,-0.0266,-0.0257,-0.0626,-0.0237,-0.0392,-0.027,-0.013,-0.0341
andrew wiggins,4,-0.0284,-0.0274,-0.0586,-0.0477,-0.0338,-0.0305,-0.0147,-0.0337
andrew wiggins,5,-0.0196,-0.0224,-0.062,-0.038,-0.0372,-0.0163,-0.0192,-0.0005
anfernee simons,1,-0.0217,-0.0206,-0.0254,0.0083,-0.006,-0.0221,-0.0133,-0.0001
anfernee simons,2,-0.023,0.0007,-0.0238,0.0052,-0.0029,-0.0217,-0.0093,-0.0073
anfernee simons,3,-0.0129,-0.0094,-0.0249,0.0039,-0.008,-0.0163,-0.015,-0.012
anfernee simons,4,-0.0131,0.0024,-0.0255,0.0017,-0.0011,-0.0024,-0.0108,-0.0261
anfernee simons,5,-0.0174,-0.0052,-0.0392,-0.0081,-0.0049,-0.0119,-0.0155,-0.0281
anthony black,1,0.0053,-0.0084,0.0323,-0.0184,0.0087,0.0071,0.0135,0.0056
anthony black,2,-0.0057,0.0007,-0.0021,-0.0346,0.0001,-0.0036,0.01,-0.0147
anthony black,3,-0.014,-0.0015,-0.0344,-0.0149,-0.009,-0.0097,0.0005,-0.0173
anthony black,4,-0.011,-0.0014,-0.0238,-0.0274,-0.0006,-0.0162,-0.0065,-0.0241
anthony black,5,-0.0165,-0.0095,-0.0284,-0.0283,-0.0106,-0.0111,-0.004,-0.0225
anthony davis,1,-0.0155,-0.0134,-0.0375,-0.0239,-0.0258,-0.0176,-0.0205,-0.0364
anthony davis,2,-0.021,-0.0117,-0.0498,-0.0244,-0.0204,-0.0196,-0.0199,-0.0317
anthony davis,3,-0.0156,-0.012,-0.0536,-0.0271,-0.0208,-0.0192,-0.0237,-0.0051
anthony davis,4,-0.0204,-0.0202,-0.0641,-0.0444,-0.0267,-0.0245,-0.0264,-0.0358
anthony davis,5,-0.0149,-0.0202,-0.0582,-0.0206,-0.0254,-0.0239,-0.0279,-0.0329
anthony edwards,1,-0.0099,-0.0312,0.009,-0.014,0.0035,-0.0062,0.0279,-0.0024
anthony edwards,2,-0.0114,-0.0242,-0.0044,-0.014,-0.0137,-0.0003,0.0245,-0.0126
anthony edwards,3,-0.015,-0.029,-0.0313,-0.0166,-0.0173,-0.0035,0.0225,-0.0397
anthony edwards,4,-0.007,-0.0279,-0.0362,-0.0243,-0.0145,-0.0044,0.0125,-0.0425
anthony edwards,5,-0.0035,-0.0203,-0.0363,-0.027,-0.0185,-0.0085,0.015,-0.0147
anthony gill,1,0.0558,0.0454,0.0326,0.1457,0.0274,0.0507,-0.006,0.0208
anthony gill,2,0.055,0.0422,0.0373,0.1454,0.0267,0.052,-0.013,0.0105
anthony gill,3,0.063,0.0439,0.0303,0.1461,0.0228,0.0525,-0.0123,0.0122
anthony gill,4,0.0624,0.036,0.0402,0.1389,0.0283,0.058,-0.0176,0.0123
anthony gill,5,0.0526,0.0372,0.0345,0.1262,0.0203,0.0551,-0.0156,0.0125
antonio reeves,1,0.0328,0.0164,0.0473,0.1569,0.0356,0.0346,0.0031,0.0775
antonio reeves,2,0.0329,0.0236,0.0531,0.1591,0.0323,0.033,0.0049,0.0792
antonio reeves,3,0.0297,0.0391,0.0418,0.1549,0.0374,0.0341,0.0028,0.0725
antonio reeves,4,0.0345,0.023,0.042,0.1372,0.0359,0.04,0.0044,0.0388
antonio reeves,5,0.0405,0.0451,0.0529,0.1389,0.0359,0.0457,0.0028,0.0353
ariel hukporti,1,0.0286,0.0245,0.0331,0.0364,0.0203,0.038,0.0023,0.0567
ariel hukporti,2,0.0302,0.0261,0.0287,0.0475,0.0301,0.0326,0.0058,0.0675
ariel hukporti,3,0.0305,0.0293,0.0257,0.04,0.0267,0.032,0.0113,0.0702
ariel hukporti,4,0.0262,0.0248,0.0218,0.0308,0.0319,0.0304,0.0137,0.0459
ariel hukporti,5,0.0252,0.0287,0.0359,0.0207,0.0222,0.0287,0.005,0.0289
asa newell,1,0.0345,0.038,0.0679,0.1739,0.037,0.0342,0.0288,0.1392
asa newell,2,0.0362,0.0445,0.0715,0.1739,0.0421,0.0317,0.0214,0.0917
asa newell,3,0.0335,0.0576,0.0597,0.1802,0.0381,0.0291,0.0197,0.0886
asa newell,4,0.031,0.0172,0.0425,0.1757,0.0323,0.0256,0.0069,0.0753
asa newell,5,0.03,0.031,0.044,0.1554,0.0321,0.0357,-0.0002,0.0493
ausar thompson,1,0.0089,0.005,0.0305,-0.0228,0.0046,0.0145,0.0093,-0.0051
ausar thompson,2,0.0083,0.0146,0.0041,-0.0259,-0.0021,0.0115,0.007,-0.0136
ausar thompson,3,-0.0008,0.0085,-0.0153,-0.0108,-0.0042,-0.0017,0.0066,-0.0146
ausar thompson,4,-0.0017,0.0096,-0.0229,-0.0206,-0.0015,-0.0034,0.0067,-0.0225
ausar thompson,5,-0.0041,-0.014,-0.0197,-0.0232,-0.0011,-0.0016,0.0023,-0.0211
austin reaves,1,-0.0127,-0.0264,-0.0394,-0.0284,-0.0231,-0.0134,0.0318,-0.0031
austin reaves,2,-0.0168,-0.0258,-0.0276,-0.0362,-0.0257,-0.018,0.0248,-0.0115
austin reaves,3,-0.0251,-0.031,-0.0347,-0.0102,-0.0324,-0.0267,0.0224,-0.0474
austin reaves,4,-0.0282,-0.0304,-0.0365,-0.0394,-0.0438,-0.0343,0.0103,-0.0523
austin reaves,5,-0.0223,-0.0326,-0.0449,-0.0252,-0.0415,-0.0217,0.0074,-0.0378
ayo dosunmu,1,-0.0061,-0.009,0.0046,-0.0037,-0.0035,-0.0076,0.0191,-0.0003
ayo dosunmu,2,-0.0075,-0.0115,0.0008,-0.0129,-0.0045,-0.0086,0.0045,-0.0042
ayo dosunmu,3,-0.0137,-0.0172,-0.0211,-0.0134,-0.0178,-0.0194,-0.0029,-0.0132
ayo dosunmu,4,-0.0152,-0.0032,-0.0147,-0.0015,-0.0084,-0.0098,0.0142,-0.0293
ayo dosunmu,5,-0.014,-0.0127,-0.0182,-0.0152,-0.0117,-0.016,0.0088,-0.0298
bam adebayo,1,-0.0111,-0.032,-0.0326,-0.02,-0.0149,-0.0071,-0.0073,-0.006
bam adebayo,2,-0.0226,-0.0168,-0.0245,-0.0173,-0.0186,-0.0079,-0.0089,-0.015
bam adebayo,3,-0.0177,-0.0248,-0.0459,-0.0329,-0.0282,-0.0096,-0.0144,-0.0324
bam adebayo,4,-0.0166,-0.0111,-0.0517,-0.0283,-0.0252,-0.0215,-0.0128,-0.0381
bam adebayo,5,-0.0188,-0.0178,-0.0591,-0.0479,-0.0349,-0.0216,-0.0153,-0.0361
baylor scheierman,1,0.0143,-0.0002,0.0559,0.0233,0.0109,0.017,-0.0037,0.0692
baylor scheierman,2,0.0204,0.0155,0.0295,0.056,0.0095,0.0208,-0.0001,0.0936
baylor scheierman,3,0.0253,0.0152,0.0274,0.0919,0.0101,0.0269,0.0022,0.0851
baylor scheierman,4,0.0229,0.0269,0.0278,0.0862,0.0209,0.0255,0.0039,0.0314
baylor scheierman,5,0.0243,0.0206,0.0325,0.0778,0.0273,0.0257,0.0049,0.009
ben saraf,1,0.0283,0.0278,0.0621,0.103,0.0341,0.0289,0.027,0.1373
ben saraf,2,0.0252,0.0381,0.066,0.0496,0.039,0.0238,0.0189,0.0539
ben saraf,3,0.0281,0.051,0.0516,0.0377,0.0338,0.026,0.0158,0.057
ben saraf,4,0.0199,0.0263,0.0395,0.0469,0.0308,0.0218,0.0037,0.0427
ben saraf,5,0.0166,0.0198,0.0348,0.0379,0.0299,0.0194,0.0086,0.0072
ben sheppard,1,0.0123,-0.0074,0.0323,-0.0212,-0.0049,0.0151,-0.0035,-0.0045
ben sheppard,2,0.0125,-0.0035,0.0123,-0.0156,-0.0011,0.0162,-0.0024,-0.0132
ben sheppard,3,0.0015,-0.0125,-0.0026,-0.0038,0.004,0.0045,-0.0008,-0.0121
ben sheppard,4,0.0044,-0.0065,-0.0096,-0.0196,0.0019,0.001,0.003,-0.012
ben sheppard,5,0.0142,-0.014,-0.016,-0.0161,-0.0109,0.0051,0.0011,-0.0117
bennedict mathurin,1,-0.0034,0.0086,0.0292,-0.038,0.0007,-0.0038,0.032,-0.0079
bennedict mathurin,2,-0.0156,-0.0101,-0.0277,-0.027,-0.0091,-0.0103,0.0391,-0.0249
bennedict mathurin,3,-0.028,-0.0209,-0.0385,-0.0365,-0.0021,-0.028,0.0369,-0.0266
bennedict mathurin,4,-0.0082,-0.0195,-0.0231,-0.011,-0.0209,-0.0109,0.0251,-0.0417
bennedict mathurin,5,-0.0178,-0.0072,-0.0396,-0.036,-0.0279,-0.0193,0.0279,-0.032
bilal coulibaly,1,0.0258,0.0333,0.0354,-0.0194,0.0057,0.0292,0.0102,0.0016
bilal coulibaly,2,0.0275,0.0425,0.0145,-0.0121,0.0008,0.0293,0.0109,-0.008
bilal coulibaly,3,0.0118,0.0553,-0.0145,-0.0125,-0.0084,0.0175,0.0101,-0.0202
bilal coulibaly,4,0.0079,0.0729,-0.0219,-0.0113,0.0001,0.0094,-0.0014,-0.0197
bilal coulibaly,5,-0.003,0.0443,-0.0228,-0.0052,-0.0068,-0.0061,-0.0013,-0.0267
bismack biyombo,1,0.0319,0.0031,0.0302,0.1164,0.0085,0.0312,-0.0078,0.032
