player_name_clean,season,Shooting_pct_delta_adj,Playmaking_pct_delta_adj,Perimeter_Defense_pct_delta_adj,Interior_Defense_pct_delta_adj,Rebounding_pct_delta_adj,Scoring_pct_delta_adj,Efficiency_pct_delta_adj,Impact_pct_delta_adj
aaron wiggins,2025-26,0.02937142310354625,0.02978428634074695,-0.0058617962528228,0.06680219024120775,0.0148934869478417,0.02918404501305125,-0.0029313873920542004,-0.0048380037817548
ace bailey,2025-26,,,,,,,,
adem bona,2024-25,,,,,,,,
adem bona,2025-26,-0.10900383742866845,-0.05833905079195045,-0.1493746305121483,-0.08825009107397984,-0.0889804141891295,-0.10902449578006276,-0.0646199656009872,-0.19336727072716992
adou thiero,2025-26,,,,,,,,
aj green,2022-23,,,,,,,,
aj green,2023-24,-0.043826743077813146,-0.09110336229297769,-0.08567100380137566,-0.07964999507928375,-0.0739480049870887,-0.044254653548144604,-0.02361452040749075,0.37714050358467516
aj green,2024-25,0.1051055094101423,0.06874985629874995,0.21845618406888803,-0.0622574037181521,0.07675843801877194,0.10352846110543365,-0.043721268046230694,0.8163002205047878
aj green,2025-26,-0.006365768723355848,-0.02649920006184815,-0.06757084282962811,-0.08597241174379254,-0.0512454767356738,-0.0066145018120186486,-0.009005107859878299,0.1052538778187687
aj johnson,2024-25,,,,,,,,
aj johnson,2025-26,0.09618852150617475,0.07720772402226125,0.12005573211629869,0.12081610268345115,0.09671042144212,0.09596384358182634,0.0168283777680698,0.079481201387784
ajay mitchell,2024-25,,,,,,,,
ajay mitchell,2025-26,0.06332172785140384,0.30610892146180574,0.8201368642498319,0.0010310834700071464,-0.0831949405028788,0.06333131095711104,0.059578743518648,1.270494161681154
al horford,2021-22,,,,,,,,
al horford,2022-23,-0.056118111952499605,-0.07472776411336199,-0.1589656244871505,-0.16691699382593211,-0.11879446558235669,-0.0565687453389063,-0.046046307795126896,-0.0409745532370302
al horford,2023-24,-0.039689376210898145,-0.0929727812210425,-0.01823405169501665,-0.09100017513184895,-0.026480733612445302,-0.039760436033112405,0.0004732144793447501,-0.0476865119503716
al horford,2024-25,-0.0029615722835012043,-0.06481295742205065,-0.026797155112725048,-0.030696311686859996,-0.014977876206850954,-0.0030670493735216534,-0.0170841635721386,-0.032956644367383596
al horford,2025-26,0.027375759587903246,-0.01096599435502315,0.0486429754253652,0.025129241200310848,0.0238085032717856,0.02702860407336605,-0.016815376891953,-0.001704843756934821
alex caruso,2021-22,,,,,,,,
alex caruso,2022-23,0.026068655919639302,0.009677086832699798,0.1860474295369394,0.6734299854877727,0.0694428762735155,0.0253359380874224,-0.0117890267359974,0.16754916116955712
alex caruso,2023-24,0.21058255196293615,0.0462780900143567,0.13585866275132907,0.3391780323304181,0.1208141254566175,0.2098106223592015,0.03336409732889475,0.157213098063126
alex caruso,2024-25,-0.005880914403795505,-0.03364081917519565,-0.033045407175210255,-0.031378318745688104,-0.01669204820699835,-0.005443378208283348,0.0260462214047741,-0.08736715611747749
alex caruso,2025-26,0.032144008228367146,0.0032774993046977494,0.0399499364285568,0.01820952502062485,0.029639043365361,0.03155289481649825,-0.0010111246597558007,0.0014544993617176998
alex sarr,2024-25,,,,,,,,
alex sarr,2025-26,-0.15368457507710714,-0.12333020018858865,-0.165248774214408,-0.17812003796768333,-0.14470692238242702,-0.15292493642436156,0.07563844542004,-0.3197590816145668
alperen sengun,2021-22,,,,,,,,
alperen sengun,2022-23,0.2353727142207101,0.2111148722504462,0.103278753642816,0.027336102107479398,0.31777375594225343,0.23443031291833158,0.0697915717666515,0.21080624124113492
alperen sengun,2023-24,0.13366212986230205,0.1062076426924895,0.05807020893718235,-0.12285652153114925,0.0351859774175371,0.1337927982924215,0.04866382233436225,0.031279460847487894
alperen sengun,2024-25,0.1163119318291676,0.11563104411847125,0.055435835545031245,0.047990640840151,0.12311203884866985,0.11616025140492245,0.0240595139793987,0.0636433557472686
alperen sengun,2025-26,-0.01857191973190085,0.01207199860631145,-0.0171442049743043,-0.03023975561962175,-0.0423261515572438,-0.017408509349372853,0.0266704066727508,-0.0857303442216059
amari williams,2025-26,,,,,,,,
amen thompson,2023-24,,,,,,,,
amen thompson,2024-25,0.2699693812091794,0.20571621845155966,0.13278407215173593,0.6508193225885046,0.19824672336588695,0.2687534605919021,0.0246964266363218,0.3007176224445995
amen thompson,2025-26,-0.08420916635813205,-0.06804900623520214,-0.1527069669467442,-0.19394052022683556,-0.100189115054643,-0.08336903547168086,-0.024099789783683902,-0.1903982344301375
amir coffey,2021-22,,,,,,,,
amir coffey,2022-23,-0.19617862502920708,-0.1255815350317227,-0.2554944533704743,-0.15271882344130672,-0.16333908051198812,-0.1955669985623929,-0.046102399738722794,-0.32165075002264837
