player_name_clean,year_ahead,Efficiency,Impact,Interior_Defense,Perimeter_Defense,Playmaking,Rebounding,Scoring,Shooting
andre drummond,2,-0.012984,-0.004133,-0.000517,0.060164,0.027038,0.005318,0.016187,0.017476
andre drummond,3,-0.010521,-0.007344,0.000361,0.054533,0.033415,0.004916,0.02035,0.030194
andre drummond,4,-0.019148,-0.00561,-0.000243,0.054071,0.004074,0.005842,0.027208,0.025534
andre drummond,5,-0.013816,-0.008981,-0.000151,0.062115,0.018229,0.006678,0.022189,0.032371
andre jackson,1,0.007437,0.067739,0.012938,0.05075,0.015194,0.034213,0.043242,0.039446
andre jackson,2,-0.000155,0.075142,0.01742,0.048758,0.025155,0.029382,0.041835,0.028718
andre jackson,3,0.001409,0.047988,0.015759,0.036795,0.04147,0.031942,0.03878,0.02757
andre jackson,4,-0.000682,0.035202,0.015067,0.046609,0.02769,0.033771,0.044723,0.03794
andre jackson,5,0.00237,0.03525,0.014424,0.045833,0.032145,0.032027,0.04296,0.042172
andrew nembhard,1,0.033541,0.01589,0.000906,0.039898,0.010009,0.012483,0.011579,0.009614
andrew nembhard,2,0.02873,-0.000695,0.001212,-0.008883,-0.004574,0.00655,0.004887,0.003425
andrew nembhard,3,0.02439,-0.004335,0.000612,-0.009904,0.000687,0.002613,0.01138,0.008653
andrew nembhard,4,0.00728,-0.01744,0.001013,0.004974,0.012599,-0.006218,0.003322,0.001751
andrew nembhard,5,0.005257,-0.01418,0.001542,-0.028634,-0.002487,-0.009518,0.003146,0.005483
andrew wiggins,1,0.0086,0.00252,0.000296,-0.00942,-0.006767,0.00362,0.009056,0.00799
andrew wiggins,2,0.00584,-0.004831,0.001184,-0.0166,-0.000791,-0.00248,0.00018,-0.0004
andrew wiggins,3,0.006559,-0.013862,0.000533,-0.01692,-0.009158,-0.00498,-0.00176,-0.00108
andrew wiggins,4,0.006017,-0.014673,0.00141,-0.02472,-0.006757,-0.00966,-0.0017,0.0012
andrew wiggins,5,0.00348,0.019731,0.001542,-0.0324,-0.001952,-0.0112,0.004194,0.001509
anfernee simons,1,0.0086,0.025083,-0.003913,-0.001165,-0.001605,0.014357,0.00296,0.00332
anfernee simons,2,0.009452,0.013797,-0.003917,0.000996,0.023216,0.017558,0.00018,-0.0004
anfernee simons,3,0.005314,0.014555,-0.003738,-0.004852,0.010259,0.012463,0.00526,0.007945
anfernee simons,4,0.010035,-0.006835,-0.004051,-0.005468,0.025695,0.020628,0.018908,0.009834
anfernee simons,5,0.005257,-0.006681,-0.001362,-0.021786,0.017084,0.016985,0.009431,0.0046
anthony black,1,0.013819,0.005223,0.012669,0.064861,0.012208,0.01046,0.025169,0.014354
anthony black,2,0.009819,-0.012696,0.003,0.021932,0.021392,-0.000388,0.014903,0.005387
anthony black,3,0.00011,-0.017056,0.016741,-0.002476,0.019015,-0.008892,0.00903,-0.0033
anthony black,4,-0.006598,-0.025969,0.0045,0.005076,0.017827,-0.001379,0.003924,-0.000908
anthony black,5,-0.005525,-0.022746,0.002686,-0.000573,0.010829,-0.016792,0.009065,-0.0063
anthony davis,1,-0.018204,-0.0146,0.006397,-0.005253,0.004608,0.000526,-0.016358,-0.012667
anthony davis,2,-0.01909,-0.012336,0.005142,-0.021324,0.008994,0.009464,-0.019567,-0.019789
anthony davis,3,-0.022625,0.002729,0.005517,-0.02241,0.005873,0.008929,-0.018589,-0.016131
anthony davis,4,-0.025217,-0.015124,-0.012967,-0.033749,-0.005175,0.004362,-0.024,-0.02
anthony davis,5,-0.027074,-0.01355,0.009533,-0.025783,-0.006578,0.004681,-0.024471,-0.014572
anthony edwards,1,0.026512,0.028054,0.017267,0.036654,0.00316,0.033475,0.018519,0.013625
anthony edwards,2,0.023213,0.022844,0.015692,0.034275,0.011992,0.018804,0.021812,0.0123
anthony edwards,3,0.017731,-0.007442,0.015737,-0.000265,0.011742,0.01385,0.016489,0.005285
anthony edwards,4,0.01945,-0.007958,0.0074,-0.004963,0.002517,0.017037,0.013736,0.012984
anthony edwards,5,0.012463,0.017017,0.0021,-0.005408,0.01015,0.0122,0.011523,0.014634
anthony gill,1,-0.003353,0.026141,-0.015352,0.0349,0.045644,0.026604,0.05405,0.057169
anthony gill,2,-0.010509,0.014334,-0.01534,0.0377,0.044266,0.026756,0.053206,0.058612
anthony gill,3,-0.009738,0.020844,-0.015736,0.0336,0.044681,0.022538,0.054484,0.060738
anthony gill,4,-0.017156,0.02535,-0.014852,0.044544,0.036034,0.029119,0.06025,0.060169
anthony gill,5,-0.0152,0.02265,-0.012425,0.03465,0.036805,0.02055,0.055959,0.053488
antonio reeves,1,0.00315,0.074258,0.015121,0.046796,0.015461,0.034862,0.037496,0.032111
antonio reeves,2,0.006105,0.076627,0.015508,0.054062,0.023762,0.03473,0.03685,0.032121
antonio reeves,3,0.003929,0.071542,0.01603,0.041486,0.041917,0.037252,0.03559,0.029872
antonio reeves,4,0.00531,0.038299,0.013797,0.043289,0.023679,0.036418,0.043092,0.036655
antonio reeves,5,0.002451,0.034225,0.013944,0.053118,0.043653,0.035439,0.044628,0.045147
ariel hukporti,1,0.001426,0.056106,0.004688,0.034262,0.025619,0.017143,0.042196,0.028179
ariel hukporti,2,0.005714,0.070355,0.007064,0.026685,0.025518,0.029382,0.038934,0.031632
ariel hukporti,3,0.010702,0.078423,0.006017,0.019821,0.028177,0.027439,0.036709,0.032196
ariel hukporti,4,0.008,0.046837,0.005702,0.019669,0.024556,0.032114,0.037471,0.025302
ariel hukporti,5,0.006131,0.029107,0.003685,0.036181,0.030723,0.014472,0.028088,0.020969
asa newell,1,0.02892,0.137443,0.017205,0.064679,0.038523,0.036925,0.03932,0.037418
asa newell,2,0.019885,0.095882,0.017324,0.065965,0.047778,0.041891,0.037121,0.039876
asa newell,3,0.016907,0.093325,0.01806,0.051688,0.057654,0.038144,0.031681,0.036257
asa newell,4,0.007073,0.075323,0.017583,0.043517,0.014079,0.032824,0.021286,0.035601
asa newell,5,-0.001544,0.04875,0.015653,0.044698,0.032998,0.031334,0.04149,0.03493
ausar thompson,1,0.012486,-0.006376,0.0087,0.060065,0.028919,0.004728,0.036534,0.017452
ausar thompson,2,0.006483,-0.012132,0.00592,0.025999,0.036136,-0.004559,0.031968,0.018232
ausar thompson,3,0.007983,-0.014451,0.022783,0.01445,0.028713,-0.003962,0.015382,0.008859
ausar thompson,4,0.010144,-0.024693,0.008898,0.008597,0.02839,-0.002738,0.014698,0.008725
ausar thompson,5,0.003204,-0.02169,0.006858,0.010801,0.005864,0.00206,0.017051,0.007707
austin reaves,1,0.030227,0.027394,-0.007562,-0.007962,-0.003463,-0.022314,-0.002182,-0.0019
austin reaves,2,0.02442,0.021088,-0.015435,0.0028,-0.003844,-0.026343,-0.007046,-0.00651
austin reaves,3,0.021438,-0.016675,0.020629,-0.003746,-0.010108,-0.032362,-0.01625,-0.0142
austin reaves,4,0.009435,-0.01855,-0.019567,-0.002985,-0.009835,-0.03895,-0.0179,-0.015
austin reaves,5,0.004682,-0.0071,0.006375,-0.013768,-0.010665,-0.040798,-0.010631,-0.012112
ayo dosunmu,1,0.03331,0.024058,-0.001534,0.02686,0.012267,0.017766,0.015783,0.014893
ayo dosunmu,2,0.027104,0.019238,-0.000852,0.019744,0.008839,0.015784,0.012793,0.014675
ayo dosunmu,3,0.01776,0.012375,-0.001003,0.0002,-0.002047,-0.00026,0.00094,0.006529
ayo dosunmu,4,0.025916,-0.010524,-0.003059,0.005922,0.015917,0.010463,0.01052,0.005976
ayo dosunmu,5,0.024138,-0.009436,-0.000552,0.00251,0.007317,0.008738,0.004892,0.006955
bam adebayo,1,-0.00813,0.024279,0.000717,-0.003577,-0.012281,-0.01405,0.004049,-0.000914
bam adebayo,2,-0.007158,0.017002,0.012676,0.013665,0.013363,-0.019531,0.004762,-0.0113
bam adebayo,3,-0.011519,-0.0023,-0.009429,-0.014265,-0.003574,-0.02765,0.001528,-0.008354
bam adebayo,4,-0.009135,-0.005311,-0.011529,-0.018523,0.014218,-0.026062,-0.013038,-0.00673
bam adebayo,5,-0.01404,-0.004919,-0.0236,-0.030033,0.001075,-0.0345,-0.009967,-0.009515
baylor scheierman,1,-0.002708,0.071254,0.003687,0.054565,0.00541,0.009537,0.015618,0.013214
baylor scheierman,2,-0.001144,0.090683,0.006366,0.028147,0.01565,0.010847,0.016332,0.015907
baylor scheierman,3,0.002664,0.07973,0.008022,0.025492,0.01588,0.00714,0.025874,0.025116
baylor scheierman,4,0.0048,0.031632,0.007688,0.020927,0.02785,0.01631,0.020375,0.015587
baylor scheierman,5,0.003231,0.000605,0.007232,0.030462,0.01426,0.028102,0.021738,0.020132
ben saraf,1,0.026462,0.131765,0.010752,0.06164,0.028077,0.033746,0.026564,0.027569
ben saraf,2,0.018733,0.054325,0.007297,0.065019,0.039044,0.039347,0.023394,0.024269
ben saraf,3,0.015996,0.061167,0.005233,0.050528,0.048629,0.033068,0.025077,0.028425
ben saraf,4,0.003867,0.041601,0.006951,0.040108,0.027034,0.026161,0.014233,0.01447
ben saraf,5,0.009057,-0.004309,0.006442,0.033688,0.016008,0.029445,0.008247,0.012953
ben sheppard,1,-0.002782,0.0039,0.00163,0.033163,0.002,0.0102,0.0168,0.0177
ben sheppard,2,-0.002502,0.005,0.00149,0.0246,0.0096,0.0098,0.016413,0.0172
ben sheppard,3,-0.001194,0.002,0.00134,0.0125,0.0088,0.0072,0.0139,0.0141
ben sheppard,4,0.002773,-0.0031,0.00123,0.0183,0.0069,0.0102,0.0099,0.0104
ben sheppard,5,0.000415,-0.010992,0.00164,0.0144,0.0044,0.0044,0.00551,0.01135
bennedict mathurin,1,0.03188,-0.008954,0.0087,0.057924,0.030511,-0.0013,0.015951,0.006297
bennedict mathurin,2,0.030959,-0.0194,0.003906,0.0058,0.010546,-0.008911,0.0099,0.0033
bennedict mathurin,3,0.031683,-0.0243,0.0135,-0.0054,0.0035,-0.001004,0.0062,-0.0033
bennedict mathurin,4,0.017202,-0.0323,0.019095,0.007893,0.0008,-0.0183,0.006617,0.00112
