,player_name_clean,year_ahead,Efficiency,Impact,Interior_Defense,Perimeter_Defense,Playmaking,Rebounding,Scoring,Shooting,bucket
1384,jusuf nurkic,5,80.0012830257759,56.9018276408615,58.1748651088979,61.436263151535,54.9143351810937,84.67106927295686,52.74052994174955,56.6810181550083,old_good
1385,karl anthony towns,1,83.0617290254822,74.9781319012299,64.7712890559197,56.1917699862061,56.1722324739866,79.9380637171783,84.35927380152896,63.7911724281006,aging_elite
1386,karl anthony towns,2,82.9951064106216,74.409066926445,64.283708458519,56.0149339724121,55.9757969479733,78.158077931694,82.67018903323364,63.709606571167,aging_elite
1387,karl anthony towns,3,82.9284837957611,74.3031693806305,63.7961278611183,55.9173261213837,55.7793614219599,76.8599301341095,81.13881994315341,63.6280407142334,aging_elite
1388,karl anthony towns,4,82.8618611809006,74.3464444389,63.4413139873505,55.8295535135803,55.5829258959465,75.2707404854813,79.87864650317385,62.9693011474304,aging_elite
1389,karl anthony towns,5,82.79523856604,74.062331031765,63.0831921750069,55.3090081501541,55.7345720033817,73.3227779629745,78.75031758376309,64.6496183108978,aging_elite
1390,karlo matkovic,1,82.6022574375915,59.516647211998,69.9812059335403,51.672381913269,44.9054981237946,56.2977357285328,50.0341683617802,58.6775878092957,young_weak
1391,karlo matkovic,2,81.3576797913361,59.171813599556,68.5840673379593,52.6061748619919,45.8308817512093,56.1590029077835,49.8251521578999,58.0144556185913,young_weak
1392,karlo matkovic,3,80.4767834614563,59.5850456280403,67.1341556541614,53.6306575890427,46.756265378624,56.0202700870342,50.011475010869,59.3132224700165,young_weak
1393,karlo matkovic,4,79.8404581021118,59.8416923803978,65.7136908106499,54.6551403160934,47.6816490060387,56.0612291323252,49.6888169488878,60.7826723477554,young_weak
1394,karlo matkovic,5,79.2041327427673,59.8167045635872,64.185657732933,55.9042274113541,48.6070326334534,55.5114886390276,49.0530946693392,60.6951674840164,young_weak
1395,kasparas jakucionis,1,29.2153582572937,35.1141798497238,71.5104298610687,96.63054513931274,43.4224300384521,42.4397864982758,21.59681265789795,42.794827,young_weak
1396,kasparas jakucionis,2,33.397012948989854,37.67556595812225,68.0535955448151,92.5731601715088,46.5027456283569,44.3173335239563,23.5409073157959,45.19740404257965,young_weak
1397,kasparas jakucionis,3,37.593878030777,40.1663678885498,66.0719821472168,89.0921428203583,49.2628216743469,45.4701167986069,25.2964221759491,46.0821555114765,young_weak
1398,kasparas jakucionis,4,40.857154130935655,41.6415186525383,64.1303710360527,86.0241997241974,51.6539826393127,44.6439082071457,26.92101328808595,46.72612553904245,young_weak
1399,kasparas jakucionis,5,43.9918887615204,42.587961644033456,61.0002414603233,83.56646835803986,53.643675327301,44.3659744307671,28.23611097771455,46.45936966011715,young_weak
1400,kawhi leonard,1,87.3998104708023,72.0769157354431,60.5495742136459,71.9188110722656,58.6474086799984,55.05927826957705,95.0652770889587,68.0395230666199,aging_elite
1401,kawhi leonard,2,86.5216639416046,69.2950868551331,60.0630188161354,68.7627149714584,58.2478483775024,57.75351025657655,100.0,65.4136380568543,aging_elite
1402,kawhi leonard,3,85.7026341335602,71.5090409462051,59.7802676731567,65.5462586773987,58.8881991961365,61.0163750846863,100.0,65.9439685359993,aging_elite
1403,kawhi leonard,4,85.1112392322845,73.42043470784,59.0678507262688,63.857343871748,58.9352513858442,62.259850521850595,100.0,65.7634450212517,aging_elite
1404,kawhi leonard,5,84.6945166961975,76.2294999305801,58.3554337793808,61.9626162616963,58.982303575552,63.61030819015505,100.0,66.2033159748116,aging_elite
1405,keaton wallace,1,74.7283836277237,56.7712358285217,58.6426367472763,65.3694008862457,64.8414951251183,36.8190709558411,45.2572072238388,61.3479562000427,prime_weak
1406,keaton wallace,2,74.6371081741562,55.93324816716,58.3908903311844,64.8049978291473,63.713842837635,37.3771808353348,45.8501547665062,61.1268445448074,prime_weak
1407,keaton wallace,3,74.3475080402603,55.4771904398232,58.0560753058548,65.1768340146027,62.9273683117065,38.2957747188492,46.5944905371132,61.7686785356197,prime_weak
1408,keaton wallace,4,74.3175921114197,54.6509766031532,57.6011600207443,64.9010937487564,62.625883250061,38.8404749837799,46.8411164969864,62.2909106806908,prime_weak
1409,keaton wallace,5,74.7602404030075,53.7419524837761,57.1299611043091,63.2754058515511,62.2010289714966,39.5856928435249,46.425984034008,62.8166053489838,prime_weak
1410,keegan murray,1,80.1119961506042,68.8489339316101,66.9089506087875,63.5017197446747,43.2576934465714,54.664182848686195,62.508684101623544,68.8654036024094,prime_good
1411,keegan murray,2,80.8673479682121,69.9450186217041,67.4897451220131,62.9420589761658,44.4932403930969,57.14065260385895,64.8944014935913,69.2717768052101,prime_good
1412,keegan murray,3,81.5719572788391,71.6373200202198,67.8626271305656,62.2188368635101,45.8260196813889,60.0502731273117,67.2674941449585,69.4219194748878,prime_good
1413,keegan murray,4,82.2341773158226,72.4936973595829,67.93757380229,61.3879471855087,47.0178389915772,59.8686824212017,69.5811404614868,69.0181242325783,prime_good
1414,keegan murray,5,82.845235229126,73.5216278338642,68.0267499728179,60.8644555883331,48.2867473730392,61.2288312087002,71.52709597639465,67.4222034314156,prime_good
1415,keldon johnson,1,81.5589504930496,63.2177124071808,55.0825625845871,53.8516379687347,49.4958410745468,58.1570723596497,68.1566483249092,64.6348126039658,prime_good
1416,keldon johnson,2,81.8845069858551,60.5349913645477,56.0368251392326,54.5742969843903,50.44008837994,60.3427448812408,68.2482977529192,66.2319641218338,prime_good
1417,keldon johnson,3,82.2280228349686,60.1138732004852,56.9910876938782,55.3453571173706,51.5567600613441,62.4599619451447,68.1816280503893,67.5451345846806,prime_good
1418,keldon johnson,4,82.482158896637,59.4827635813446,57.8329649159393,56.4946423384705,52.2773418312874,64.8781018796845,67.7870838065767,68.3817976371202,prime_good
1419,keldon johnson,5,82.5784580442429,58.6034831095429,58.6864659378014,57.5283534380951,53.0744403487053,66.8607702794952,67.0183461328173,66.7957747832689,prime_good
1420,kelel ware,1,86.1165723216209,68.0547888698807,76.366940161665,61.9298298354034,39.5473084363937,86.5811034825707,56.3975411830254,56.682102272644,young_good
1421,kelel ware,2,87.8560036432419,69.5619787397614,76.7955223233299,63.674242019165,42.0788973484039,87.6772460130119,56.2685830620832,55.4451895452881,young_good
1422,kelel ware,3,89.358231426445,70.2568586292496,77.233160993536,63.9929678435211,44.4397251520157,87.7784698915744,56.2098237788088,55.0689285494232,young_good
1423,kelel ware,4,90.8044705998573,71.2465651455154,77.9009320349293,64.1761544937973,46.818660369873,86.4078126859927,56.1311252927191,55.7383086182022,young_good
1424,kelel ware,5,92.1678416144524,71.0065741958847,78.4256445974903,64.0441740150337,49.2261366758347,85.5043638062739,56.3306441521056,56.4989119268799,young_good
1425,kelly olynyk,1,82.2498605158539,61.7632508037415,59.0081975356646,61.7252244022217,60.8652529848328,56.5269566214447,54.23707674061585,60.162831369339,old_good
1426,kelly olynyk,2,81.0998859312744,59.2213926074829,57.1577050731487,62.206147816452,59.8031506670227,54.9029675162201,52.6926412395172,60.4062157306061,old_good
1427,kelly olynyk,3,79.9499113466949,56.654921746048,55.4003860698051,60.7749542262878,58.8126303089371,54.2045809066658,51.978961091392506,60.8166747722015,old_good
1428,kelly olynyk,4,78.4639520552368,55.9058359620895,54.1065079913445,59.1878006127205,58.1603331101646,54.5454874074821,51.08054522787855,61.227133813797,old_good
1429,kelly olynyk,5,78.5244752075882,55.8147260902252,53.3747092233009,58.0059784915771,56.5342070592155,54.8863939082985,50.71703181778715,61.7635618183002,old_good
1430,kelly oubre,1,78.2860378406525,63.7648000607605,59.9377823347778,63.8970733061066,40.6224012024918,51.8514248892517,71.79443033590701,64.80507100177,old_good
1431,kelly oubre,2,77.7691483877182,62.2750980744476,58.8680727357597,62.762159444355,41.7244573481598,54.1181666418762,75.50410755529785,66.1416109557171,old_good
1432,kelly oubre,3,77.479893960762,63.3030281553383,57.7456800217361,61.4711770191421,43.0112442620316,57.27329845874026,79.2179125155487,65.6771826500912,old_good
1433,kelly oubre,4,77.2410413406372,64.5366930106993,56.5767876977654,60.1628300919762,44.2577064879456,59.51556654421995,82.62682064428711,65.0286043639202,old_good
1434,kelly oubre,5,77.2370688102722,65.7832420656795,55.3334364766808,58.7198558821907,45.5341879971542,59.2358281180115,84.0269895,64.4387559647579,old_good
1435,kenrich williams,1,73.8033146555176,59.5746048761292,55.0954493071976,58.2301015814056,51.9903419065852,53.2370513817291,47.2987559646473,57.9290824876404,old_good
1436,kenrich williams,2,70.4123139078369,58.9465925765915,54.3572739150467,59.4737753828278,52.0724263611813,54.8310880800705,46.9490123003826,54.4333621011353,old_good
1437,kenrich williams,3,70.631710737442,58.7898926807327,53.5926909234467,60.7856070955505,52.2578544590254,56.0734955212097,46.7196904331551,53.6854375348663,old_good
1438,kenrich williams,4,70.9668829138031,58.3308038783951,52.8569460895004,60.233626719307,52.5294901106138,54.3715055128555,46.4845565170155,53.5959981427765,old_good
1439,kenrich williams,5,73.0801958734741,58.1459298206253,52.0741237189713,59.069693919014,52.5455109171201,52.4448765655975,46.0221270233498,53.7242163167572,old_good
1440,kentavious caldwell pope,1,78.5689488036499,63.1409450919037,57.5601463794289,65.1048747260742,50.2261946860847,32.0722954285507,51.1711647380829,64.600791570343,old_good
1441,kentavious caldwell pope,2,77.8626634461746,60.4578002840881,56.2673278927383,64.0256732661896,51.0331863228378,33.0809677851562,50.4845287670136,63.4365543095245,old_good
1442,kentavious caldwell pope,3,77.1563780886993,58.8941828162079,54.7710217117844,63.008339877861,51.7350212399063,33.488831163681,49.4421889652252,62.2723170487061,old_good
1443,kentavious caldwell pope,4,76.5936574323044,57.9155036360626,53.1779966532764,61.3796345849209,52.5505309168396,33.7933963549499,49.0242146719933,61.1080797878876,old_good
1444,kentavious caldwell pope,5,76.5746914727554,58.1419494897728,51.5555211185989,59.9224844236546,53.4461177054939,34.1391027582054,48.7467608620167,62.1636775215938,old_good
1445,keon ellis,1,77.4837212597961,61.1577790668488,65.1430494901733,71.3668810629463,45.5873021053314,34.792755714962,45.7373143629837,65.8848700137482,prime_good
1446,keon ellis,2,76.8107312714691,60.8108769109726,64.9075886574583,68.6008249067879,46.5421531962395,35.7147557059021,46.6214689211655,63.9713246436462,prime_good
1447,keon ellis,3,76.0586809670563,60.8187153747559,64.63665520819,67.8760078930473,47.5949347781181,36.2209920206757,47.3024275498199,62.6136233420715,prime_good
1448,keon ellis,4,75.7690244233246,60.8106289079666,64.3657217589216,66.0951165431356,48.6914305256844,36.8342392960281,47.453916122179,61.2081966014252,prime_good
1449,keon ellis,5,76.7626502787705,61.4494969180107,64.1742459503012,64.6252793782568,49.7375176714897,37.4850202122421,47.5302631603289,61.7928567738876,prime_good
1450,keshad johnson,1,74.8691603024292,56.7988870213127,64.1096831851501,56.24784056604,39.2612900878639,50.8183362217331,45.5219941438293,56.3816343077469,young_weak
1451,keshad johnson,2,72.2418266613769,57.1367089221573,63.743295758297,58.0771893686066,40.1729331757278,51.1799763770485,46.7143421472168,57.3883550890732,young_weak
1452,keshad johnson,3,72.2483716090012,58.1995180839992,62.9191974543829,59.6696309274445,41.0956302429886,51.3333421380901,47.9531942905045,58.3307385572243,young_weak
1453,keshad johnson,4,73.1499543119955,58.9943922901845,62.2230101966162,61.2620724862823,42.0183273102493,50.5790178211117,48.257155060873,59.4438050218868,young_weak
1454,keshad johnson,5,74.0515370149898,59.6801897431111,61.479948177268,61.9151828712235,42.7900505806656,50.4360708029652,48.1796021686053,60.5568714865494,young_weak
1455,kevin durant,1,88.70847443396,74.8582068629456,66.4174624008636,56.2318182687225,64.0110939166565,54.8720455195312,97.5336778209076,68.3575293179932,old_elite
1456,kevin durant,2,87.6944315796509,71.5531147666168,64.1162296158771,56.7979925374451,62.8031016013641,59.0194301630859,98.0,65.8549510594788,old_elite
1457,kevin durant,3,86.6803887253418,67.9443346209717,61.7585376722317,57.3641668061676,61.9975170514603,64.26027965802,97.0,63.6421271916809,old_elite
1458,kevin durant,4,85.7254624729767,66.8832760997009,60.2505508286457,58.3098095158997,62.8658667675276,63.8959110404854,96.0,62.7684607860031,old_elite
1459,kevin durant,5,84.7705362206116,68.1811593718719,58.4904142690401,57.3287190894547,63.7342164835949,63.5315424229507,95.0,61.6779007073822,old_elite
1460,kevin huerter,1,77.0611651265106,63.0131055196838,59.4462478534355,61.3872723761444,54.3301781660137,36.7461886578159,58.1292142502327,67.4746732011261,prime_good
1461,kevin huerter,2,75.7575937592468,63.1526633342819,60.2551684157028,62.1412688914185,54.0468200987396,36.5060443156319,58.6229944459457,65.5425264134827,prime_good
1462,kevin huerter,3,76.7569637143097,63.4824437698441,60.8247387186661,62.2721375885849,54.238893354517,36.1075013750153,59.1971151463051,65.388265897316,prime_good
1463,kevin huerter,4,77.8894295894585,63.7279422840195,61.3897343055382,61.7287833395843,54.3510306200204,35.9009393327789,59.7428477636833,65.3292452588501,prime_good
1464,kevin huerter,5,78.9231509530029,63.8191861232834,61.8826697842255,61.3543808403854,54.4113437703071,36.0424920641737,60.0078353516121,65.1960523620071,prime_good
1465,kevin love,1,78.0357791112213,59.3002953826294,56.4873812831268,52.4840997611694,52.9961391890907,71.47205547213746,54.5155953298492,69.51307339964296,old_good
1466,kevin love,2,77.0164076016693,57.1800089179382,55.5146265662537,53.1676315223389,52.9198697040343,69.63711491942595,52.3444193731232,67.691594555954,old_good
1467,kevin love,3,75.9970360921173,56.1884938775406,54.5418718493805,53.9222566043549,52.6706074754262,68.30501560092165,50.8175121675415,65.34085936842345,old_good
1468,kevin love,4,76.1716716216354,55.5157589017258,53.3523772991524,55.0275098239593,52.7256004417801,68.2067294341345,49.9691505561752,64.6643144637146,old_good
1469,kevin love,5,76.2631249950676,55.2579812108383,52.1183880604134,56.1794155990295,52.6192284504437,67.90084677159976,49.3970548044128,64.8124786764183,old_good
1470,kevin porter,1,79.9393094555511,64.7103309044037,58.7304321515274,69.7310665106659,71.5962671966248,40.9173994822388,72.3412411604843,67.8148844876099,prime_good
1471,kevin porter,2,78.7521955505981,64.1333005794678,59.8544203030777,69.8169259524231,70.2449310750656,39.9574020070915,76.4083087836227,64.4457419552612,prime_good
1472,kevin porter,3,77.5650816456451,63.787930143753,60.4221903073502,68.8601944184189,68.2795352668457,38.8401386899834,80.1618247424088,63.0350011029053,prime_good
1473,kevin porter,4,77.7872983471527,63.8536922821197,60.7559896397305,67.6554965352898,66.6639127463989,38.4693523509388,82.3259237204514,61.6584351696777,prime_good
1474,kevin porter,5,78.2243374601974,64.4902999648247,61.2384195315552,66.4744861340408,65.0220288963013,38.486073843572,84.3841658030472,61.4531590380478,prime_good
1475,kevon looney,1,78.594374274231,64.5980725802154,64.954305926363,53.9700874514313,54.6660737609444,79.72423210466005,41.3155830268402,43.4524075863037,prime_good
1476,kevon looney,2,77.9684128274689,63.254414943573,65.3911781106396,54.4754560656281,53.9338920330582,77.4220949682007,39.8398052815933,44.3519729328427,prime_good
