player_name_clean,year_ahead,attribute,value,percentile
aaron wiggins,2,Impact,62.6920416562424,59.5
aaron wiggins,2,Interior_Defense,60.7714790606766,54.5
aaron wiggins,2,Perimeter_Defense,58.1431758914185,42.3
aaron wiggins,2,Playmaking,47.3269547355156,32.5
aaron wiggins,2,Rebounding,40.7260610952682,34.3
aaron wiggins,2,Scoring,55.5262487482243,61.1
aaron wiggins,2,Shooting,60.805743907196,57.3
aaron wiggins,3,Efficiency,76.5425808219147,48.7
aaron wiggins,3,Impact,63.3858904807434,61.9
aaron wiggins,3,Interior_Defense,61.6262278461723,58.7
aaron wiggins,3,Perimeter_Defense,58.8265447173309,38.5
aaron wiggins,3,Playmaking,47.992942942379,30.5
aaron wiggins,3,Rebounding,39.7518321171112,31.9
aaron wiggins,3,Scoring,55.5609558325224,60.1
aaron wiggins,3,Shooting,59.95741245578,53.5
aaron wiggins,4,Efficiency,77.5902740506363,53.7
aaron wiggins,4,Impact,64.143527540432,64.1
aaron wiggins,4,Interior_Defense,62.5071499848633,64.7
aaron wiggins,4,Perimeter_Defense,59.5463458094788,39.7
aaron wiggins,4,Playmaking,48.6589311492424,28.7
aaron wiggins,4,Rebounding,39.5447193875618,32.5
aaron wiggins,4,Scoring,55.6368696268611,59.5
aaron wiggins,4,Shooting,60.8553702352471,54.1
aaron wiggins,5,Efficiency,78.6830724982452,57.1
aaron wiggins,5,Impact,64.7536063878403,64.1
aaron wiggins,5,Interior_Defense,62.8153720402985,67.3
aaron wiggins,5,Perimeter_Defense,59.8815683160019,41.5
aaron wiggins,5,Playmaking,49.1468621027451,25.7
aaron wiggins,5,Rebounding,39.555895884306,33.3
aaron wiggins,5,Scoring,55.9086414750629,58.5
aaron wiggins,5,Shooting,62.5170793054528,58.9
ace bailey,0,Efficiency,78.011789,38.1
ace bailey,0,Impact,58.346884,28.3
ace bailey,0,Interior_Defense,57.641199,39.7
ace bailey,0,Perimeter_Defense,58.324701,60.7
ace bailey,0,Playmaking,46.59686,42.1
ace bailey,0,Rebounding,46.728742,58.5
ace bailey,0,Scoring,54.996168,61.5
ace bailey,0,Shooting,64.324951,64.7
ace bailey,1,Efficiency,78.310638761486,52.9
ace bailey,1,Impact,58.9342443820801,34.7
ace bailey,1,Interior_Defense,59.3976200891724,46.9
ace bailey,1,Perimeter_Defense,60.0284480340729,61.7
ace bailey,1,Playmaking,47.973292299614,42.5
ace bailey,1,Rebounding,54.728742,72.3
ace bailey,1,Scoring,56.8527247731857,66.1
ace bailey,1,Shooting,65.6381214628468,75.8
ace bailey,2,Efficiency,78.6569214224472,59.5
ace bailey,2,Impact,59.7263259020414,39.1
ace bailey,2,Interior_Defense,60.8840545488586,55.3
ace bailey,2,Perimeter_Defense,61.7321950681457,63.3
ace bailey,2,Playmaking,49.167870351181,40.9
ace bailey,2,Rebounding,56.5533723796768,72.5
ace bailey,2,Scoring,59.2710087125473,67.9
ace bailey,2,Shooting,66.4747845152864,81.0
ace bailey,3,Efficiency,79.0006789922371,61.3
ace bailey,3,Impact,60.640391412076,43.7
ace bailey,3,Interior_Defense,61.3073011709442,57.7
